type,name,href,img
草部,郁金,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%83%81%E9%87%91,http://p.ayxbk.com/images/thumb/4/46/Bk4x8.jpg/220px-Bk4x8.jpg
草部,姜黄,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%A7%9C%E9%BB%84,http://p.ayxbk.com/images/thumb/4/43/Bk24g.jpg/220px-Bk24g.jpg
草部,补骨脂,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%A1%A5%E9%AA%A8%E8%84%82,http://p.ayxbk.com/images/thumb/d/d1/Bk0i7.jpg/220px-Bk0i7.jpg
草部,荜茏,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8D%9C%E8%8C%8F,
草部,益智子,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%9B%8A%E6%99%BA%E5%AD%90,
草部,缩砂密,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%BC%A9%E7%A0%82%E5%AF%86,
草部,白豆蔻,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%99%BD%E8%B1%86%E8%94%BB,http://p.ayxbk.com/images/thumb/5/5b/Bk142.jpg/220px-Bk142.jpg
草部,豆蔻,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%B1%86%E8%94%BB,http://p.ayxbk.com/images/thumb/e/ef/Bk141.jpg/220px-Bk141.jpg
草部,蓬莪茂,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%93%AC%E8%8E%AA%E8%8C%82,
草部,荆三棱,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8D%86%E4%B8%89%E6%A3%B1,http://p.ayxbk.com/images/thumb/2/27/Bk72f.jpg/220px-Bk72f.jpg
草部,莎草香附子,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8E%8E%E8%8D%89%E9%A6%99%E9%99%84%E5%AD%90,
